genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Opertochasma,70.600,65.500,2,0,NaN
Opetionella,93.500,37.200,3,1,0.0083
Ophiacantha,205.600,61.700,19,2,0.0019
Ophiactis,112.030,65.500,5,3,0.0116
Ophiceras,252.300,251.300,33,0,NaN
Ophidioceras,428.200,418.700,8,0,NaN
Ophileta,488.300,449.500,39,0,NaN
Ophiletina,460.900,449.500,22,1,0.0019
Ophioceras,422.900,421.300,2,0,NaN
Ophiochiton,161.200,155.700,1,1,1.0000
Ophiocoma,99.600,61.700,19,6,0.0161
Ophiocten,189.600,183.000,1,0,NaN
Ophioderma,205.600,65.500,20,5,0.0072
Ophiodesia,161.200,155.700,1,1,0.0244
Ophioflabellum,205.600,201.600,3,0,NaN
Ophioglypha,93.500,89.300,2,0,NaN
Ophiohybris,167.700,164.700,1,1,1.0000
Ophiolepis,205.600,65.500,7,3,0.1545
Ophiomusium,205.600,15.970,40,7,0.2046
Ophiomyxa,93.500,65.500,7,1,0.0014
Ophionautilus,171.600,164.700,8,0,NaN
Ophiopetra,171.600,145.500,13,5,0.2647
Ophiopeza,171.600,164.700,2,2,0.2673
Ophiopolytretus,364.700,360.700,1,1,0.2464
Ophioscolex,83.500,65.500,6,1,0.0028
Ophiosmilax,93.500,65.500,6,0,NaN
Ophiothela,83.500,65.500,2,1,0.0014
Ophiothrix,83.500,65.500,3,0,NaN
Ophiotitanos,99.600,61.700,22,9,0.1602
Ophiraphidites,93.500,70.600,10,1,0.0039
Ophiura,205.600,109.000,5,4,0.9306
Ophiurella,161.200,145.500,3,1,0.0294
Ophiuricoma,175.600,171.600,1,1,0.2500
Ophryaster,89.300,70.600,3,0,NaN
Opikatia,460.900,449.500,6,0,NaN
Opikina,460.900,443.700,44,0,NaN
Opipeuter,471.800,468.100,3,0,NaN
Opis,201.600,65.500,48,24,0.0171
Opisoma,196.500,150.800,8,0,NaN
Opisthophyllum,150.800,122.460,6,6,0.0139
Opisthoptera,452.000,443.700,6,0,NaN
Opisthotreta,513.000,488.300,20,1,1.0000
Opisthotrigonia,150.800,145.500,1,0,NaN
Opoa,436.000,428.200,7,0,NaN
Oppelia,171.600,155.700,6,0,NaN
Oppelismilia,235.000,182.000,3,0,NaN
Oppenheimopecten,20.430,0.012,8,1,0.0017
Opsidiscus,513.000,501.000,2,1,0.2500
Opsis,150.800,145.500,1,1,0.0370
Orbicella,5.332,2.588,3,0,NaN
Orbicoelia,318.100,251.300,114,28,0.0344
Orbiculoidea,478.600,235.000,116,17,0.0320
Orbicyathellus,520.000,516.000,1,0,NaN
Orbicyathus,520.000,516.000,29,0,NaN
Orbignya,93.500,89.300,6,0,NaN
Orbignyella,460.900,439.000,14,0,NaN
Orbignygyra,122.460,65.500,12,4,0.0218
Orbinaria,364.700,345.300,13,0,NaN
Orbipora,468.100,443.700,5,0,NaN
Orbiramus,488.300,478.600,5,0,NaN
Orbirhynchia,130.000,70.600,24,6,0.1118
Orbithele,501.000,478.600,2,0,NaN
Orbitoproetus,409.100,388.100,8,0,NaN
Orbitremites,345.300,345.000,1,0,NaN
Ordinacrinus,460.900,449.500,1,0,NaN
Ordinatus,161.200,150.800,26,18,0.0594
Ordogeisonoceras,460.900,449.500,2,1,0.6000
Oreaster,150.800,145.500,1,0,NaN
Orecopia,409.100,379.500,8,2,0.5746
Oreisator,513.000,501.000,2,0,NaN
Orestites,242.000,235.000,1,0,NaN
Orientospirifer,412.300,391.900,2,0,NaN
Oriocrassatella,318.100,265.000,5,1,0.1808
Oriomphalus,416.000,409.100,9,6,0.0024
Orionastraea,336.000,326.400,6,0,NaN
Oriostoma,449.500,383.700,68,9,0.0057
Orlinocyathus,516.000,513.000,1,0,NaN
Ormoceras,468.100,409.100,35,6,0.2918
Ornatoporta,70.600,65.500,1,0,NaN
Ornatoserra,388.100,383.700,1,0,NaN
Ornithella,235.000,150.800,14,1,0.0360
Ornithopecten,252.300,235.000,4,2,0.0102
Ornopsis,70.600,61.700,2,0,NaN
Ornothyrella,449.500,445.600,1,0,NaN
Orometopus,488.300,478.600,9,0,NaN
Orophocrinus,376.100,360.700,1,0,NaN
Orospira,478.600,471.800,11,0,NaN
Orphanaspis,449.500,443.700,1,0,NaN
Orthambonites,478.600,449.500,83,0,NaN
Orthaulax,33.900,11.608,28,0,NaN
Orthidiella,478.600,468.100,48,0,NaN
Orthidium,488.300,463.500,16,1,0.3636
Orthildaites,183.000,182.000,3,0,NaN
Orthis,488.300,164.700,100,1,0.0129
Orthobairdia,360.700,251.300,85,0,NaN
Orthocardium,40.400,37.200,2,0,NaN
Orthoceras,478.600,205.600,207,9,0.5860
Orthochetus,65.500,61.700,1,0,NaN
Orthocrinus,412.300,409.100,1,0,NaN
Orthocycloceras,418.700,416.000,1,1,0.2500
Orthocypris,428.200,418.700,1,0,NaN
Orthodesma,452.000,443.700,34,1,0.0175
Orthodochmioceras,436.000,428.200,1,0,NaN
Orthogarantiana,171.600,167.700,1,0,NaN
Orthograptus,466.000,416.000,34,0,NaN
Ortholophus,15.970,13.650,2,0,NaN
Orthomyalina,318.100,254.000,3,0,NaN
Orthonema,318.100,254.000,59,30,0.0325
Orthonota,422.900,383.700,2,0,NaN
Orthonybyoceras,468.100,443.700,4,1,1.0000
Orthonychia,436.000,265.000,86,47,0.0210
Orthophyllum,422.900,383.700,2,0,NaN
Orthopleura,388.100,383.700,7,7,0.0053
Orthopora,445.600,409.100,3,0,NaN
Orthopsis,99.600,65.500,8,4,0.0192
Orthoptychus,99.600,93.500,3,0,NaN
Orthorhynchula,457.500,449.500,34,19,0.1752
Orthorizoceras,418.700,416.000,1,1,0.0625
Orthosphinctes,161.200,150.800,29,0,NaN
Orthospirifer,422.900,383.700,4,1,0.0098
Orthostrophella,449.500,418.700,8,0,NaN
Orthostrophia,428.200,416.000,8,0,NaN
Orthostylus,235.000,232.000,2,0,NaN
Orthosurcula,65.500,55.800,13,11,0.0220
Orthotetella,303.400,272.500,11,0,NaN
Orthotetes,418.700,259.000,101,59,0.0479
Orthotheca,520.000,391.900,5,1,1.0000
Orthothetina,290.100,252.300,205,38,0.0848
Orthothrix,259.000,254.000,42,1,0.0345
Orthotichia,318.100,252.300,129,34,0.0378
Orthotoma,196.500,167.700,8,7,0.0738
Orthotrigonia,164.700,161.200,2,2,0.0145
Orthoyoldia,3.600,2.588,1,0,NaN
Orthriochiton,498.500,488.300,2,0,NaN
Ortonella,449.500,443.700,2,0,NaN
Orulgania,303.400,298.900,1,0,NaN
Oryctocara,513.000,505.000,1,0,NaN
Oryctocare,516.000,513.000,2,0,NaN
Oryctocephalina,516.000,513.000,1,0,NaN
Oryctocephalites,516.000,505.000,15,8,0.3669
Oryctocephalops,513.000,501.000,1,1,1.0000
Oryctocephalus,516.000,505.000,38,11,0.5510
Orygmaspis,498.500,488.300,4,0,NaN
Osadchiites,520.000,516.000,6,0,NaN
Osculigera,83.500,65.500,2,0,NaN
Osculipora,85.800,83.500,1,1,0.1500
Oslodictyon,436.000,428.200,2,0,NaN
Osmarella,205.600,201.600,4,0,NaN
Osmylites,150.800,145.500,3,3,0.0152
Osmylochrysa,145.500,140.200,2,2,0.1250
Osmylopsis,145.500,140.200,2,2,0.1000
Osperleioceras,182.000,175.600,1,0,NaN
Ossicrinus,242.000,232.000,6,0,NaN
Ossimimus,279.500,268.000,4,0,NaN
Ostenocaris,196.500,189.600,1,0,NaN
Osteocrinus,242.000,201.600,70,0,NaN
Osteomya,196.500,93.500,8,3,0.0193
Ostlingoceras,99.600,93.500,1,1,0.0024
Ostrea,272.500,0.0067,472,62,0.0936
Ostreola,7.246,0.007145,6,1,0.0006
Otapiria,212.000,205.600,2,0,NaN
Otariella,272.500,259.000,10,5,0.2045
Otarion,460.900,382.400,112,23,0.1538
Otoceras,254.000,251.300,5,0,NaN
Otollonia,3.600,2.588,1,0,NaN
Otostoma,130.000,61.700,5,3,0.0034
Ottawacrinus,460.900,449.500,4,0,NaN
Ottenbyella,498.500,478.600,15,6,0.6092
Ottoseetaxis,466.000,457.500,10,0,NaN
Otusia,501.000,488.300,1,0,NaN
Oulangia,20.430,13.650,3,0,NaN
Oulastrea,0.006,0.005,1,0,NaN
Oulophyllia,33.900,0.00299,24,5,0.0193
Ovalarca,3.600,2.588,1,0,NaN
Ovalastraeopsis,171.600,161.200,2,0,NaN
Ovalastrea,171.600,99.600,110,24,0.0293
Ovalitheca,542.000,520.000,9,0,NaN
Ovalocephalus,478.600,445.600,40,2,0.0308
Ovalorobius,145.500,140.200,1,1,0.1250
Ovatathyris,105.300,99.600,1,1,0.1883
Ovatella,65.500,61.700,2,2,0.0001
Ovatia,360.700,314.600,56,29,0.0900
Ovatoryctocara,513.000,501.000,2,2,0.0725
Overtonia,345.000,265.000,11,0,NaN
Ovispirifer,259.000,254.000,2,2,0.3536
Ovobactrites,290.100,279.500,1,0,NaN
Ovoceras,391.900,388.100,1,0,NaN
Ovula,2.588,0.012,4,3,0.0111
Ovulechinus,83.500,70.600,1,0,NaN
Owenella,542.000,488.300,1,0,NaN
Owenites,251.300,247.200,27,8,0.1814
Owenoceras,313.800,305.900,1,0,NaN
Oxoplecia,471.800,422.900,44,13,0.0583
Oxyarietites,196.500,189.600,2,0,NaN
Oxybeloceras,89.300,70.600,4,0,NaN
Oxycerites,171.600,164.700,16,0,NaN
Oxycolpella,232.000,201.600,40,14,0.1733
Oxygonioceras,449.500,443.700,1,0,NaN
Oxynautilus,221.500,215.560,2,0,NaN
Oxynoticeras,196.500,189.600,2,0,NaN
Oxypora,20.430,0.005,6,0,NaN
Oxyprora,339.400,305.900,8,0,NaN
Oxyrhizium,83.500,70.600,1,0,NaN
Oxyteuthis,130.000,125.450,2,0,NaN
Oxytoma,259.000,65.500,74,13,0.0302
Oxytornoceras,376.100,370.600,2,0,NaN
Oxytropidoceras,112.030,99.600,68,1,0.0013
Oyenaster,37.200,33.900,1,1,1.0000
Ozakiphyllum,345.300,314.600,3,0,NaN
Ozarkina,488.300,478.600,5,0,NaN
Ozarkispira,488.300,478.600,1,0,NaN
Ozarkoconus,488.300,478.600,1,0,NaN
Ozotrachelus,89.300,70.600,5,1,0.0029
Pachastrella,150.800,145.500,1,0,NaN
Pachecoa,55.800,40.400,2,1,0.0123
Pachendoceras,488.300,478.600,2,2,0.0680
Pachinion,112.030,70.600,11,2,0.0097
Pachyascus,161.200,150.800,3,1,0.0046
Pachyaspis,516.000,505.000,5,0,NaN
Pachycardia,235.000,232.000,6,0,NaN
Pachycardium,70.600,65.500,1,0,NaN
Pachyceras,164.700,161.200,6,0,NaN
Pachycoleon,145.500,140.200,1,1,0.0137
Pachycothon,155.700,70.600,13,1,0.0039
Pachycranium,488.300,478.600,3,0,NaN
Pachycrommium,37.200,3.4,25,7,0.0417
Pachycythara,3.600,2.588,1,0,NaN
Pachydendron,221.500,215.560,4,0,NaN
Pachydera,65.500,61.700,1,1,0.0062
Pachydesmoceras,93.500,89.300,12,0,NaN
Pachydictya,466.000,428.200,80,0,NaN
Pachydiscoceras,254.000,252.300,3,0,NaN
Pachydiscus,83.500,65.500,60,12,0.0041
Pachydomella,416.000,416.000,2,0,NaN
Pachyerymnoceras,164.700,161.200,21,0,NaN
Pachyfavosites,422.900,382.400,67,2,0.0155
Pachyglossella,460.900,449.500,11,0,NaN
Pachygrapsus,13.650,11.608,1,0,NaN
Pachygyra,155.700,33.900,5,1,0.0625
Pachylites,422.900,421.300,1,0,NaN
Pachylocrinus,360.700,342.800,2,2,0.0147
Pachylytoceras,175.600,171.600,1,0,NaN
Pachymelon,28.400,23.030,1,0,NaN
Pachymya,212.000,70.600,23,19,0.0324
Pachymytilus,150.800,145.500,2,0,NaN
Pachyomphalus,251.300,232.000,13,9,0.0087
Pachyphyllia,83.500,70.600,2,0,NaN
Pachyphyllum,388.100,376.100,23,0,NaN
Pachyplax,402.500,391.900,28,26,0.1592
Pachypoma,235.000,232.000,8,0,NaN
Pachypora,428.200,376.100,9,0,NaN
Pachypoterion,112.030,70.600,5,0,NaN
Pachypseudoplasmopora,422.900,418.700,1,0,NaN
Pachypteria,339.400,336.000,1,0,NaN
Pachyrisma,201.600,145.500,6,1,0.0018
Pachysalax,83.500,70.600,1,0,NaN
Pachyselis,93.500,70.600,3,0,NaN
Pachyseris,23.030,0.003625,67,12,0.0504
Pachysmilia,196.500,189.600,1,0,NaN
Pachysolenia,242.000,215.560,10,0,NaN
Pachysphinctes,150.800,145.500,3,0,NaN
Pachyspongia,383.700,376.100,1,0,NaN
Pachystriatopora,409.100,391.900,1,0,NaN
Pachystroma,436.000,428.200,8,0,NaN
Pachystrophia,463.500,412.300,18,4,0.0014
Pachystylostroma,460.900,436.000,31,12,0.3281
Pachyteichisma,161.200,150.800,27,4,0.0259
Pachytheca,391.900,383.700,10,0,NaN
Pachythecalis,221.500,215.560,1,0,NaN
Pachythecella,65.500,61.700,3,2,0.0268
Pachytraga,136.400,122.460,7,1,0.0048
Pacificaprina,105.300,99.600,1,0,NaN
Pacificocoelia,416.000,388.100,7,4,0.0872
Paciphacops,416.000,409.100,8,6,0.3750
Padunoceras,463.500,460.900,1,0,NaN
Paeckelmanella,318.100,272.500,5,0,NaN
Paedephemera,150.800,145.500,5,4,0.0192
Paedeumias,516.000,513.000,4,0,NaN
Paelospongia,212.000,205.600,2,0,NaN
Paenebeltella,488.300,466.000,4,0,NaN
Paffrathia,388.100,383.700,3,0,NaN
Paffratholoron,388.100,383.700,1,0,NaN
Paffrathopsis,391.900,252.300,13,2,0.0808
Pagetia,516.000,505.000,20,1,0.0410
Pagetides,516.000,513.000,4,2,0.0178
Pagodatrochus,23.030,15.970,1,0,NaN
Pagodea,391.900,388.100,1,0,NaN
Pagodia,501.000,488.300,1,0,NaN
Paguristes,7.246,5.332,2,0,NaN
Pagurus,7.246,5.332,1,0,NaN
Paiderocrinus,443.700,428.200,2,0,NaN
Paijenborchella,23.030,0.000,3,0,NaN
Paladin,360.700,259.000,65,37,0.0169
Paladmete,70.600,65.500,2,0,NaN
Palaeacis,345.300,326.400,2,0,NaN
Palaeacmaea,488.300,235.000,6,1,0.0017
Palaeadotes,501.000,498.500,2,0,NaN
Palaearaea,439.000,436.000,1,0,NaN
Palaeaster,443.700,428.200,1,0,NaN
Palaeastraea,232.000,201.600,34,6,0.0683
Palaeatractus,93.500,89.300,1,1,0.2222
Palaega,83.500,70.600,1,0,NaN
Palaeoalvania,360.700,345.300,1,0,NaN
Palaeobelemnopsis,254.000,252.300,2,0,NaN
Palaeobolus,520.000,513.000,3,0,NaN
Palaeocapulus,345.300,336.000,17,1,0.0136
Palaeocardia,428.200,416.000,3,0,NaN
Palaeocardita,232.000,201.600,65,10,0.1055
Palaeocaudina,391.900,290.100,5,0,NaN
Palaeoceras,501.000,488.300,2,2,0.2652
Palaeocollonia,235.000,232.000,2,0,NaN
Palaeocoma,196.500,183.000,7,3,0.4055
Palaeoconcha,460.900,443.700,5,0,NaN
Palaeoconularia,516.000,513.000,1,0,NaN
Palaeocorbula,265.000,259.000,1,0,NaN
Palaeocorolites,412.300,409.100,1,0,NaN
Palaeocrangon,259.000,254.000,3,0,NaN
Palaeocrinus,468.100,449.500,6,3,0.0140
Palaeocucumaria,409.100,388.100,8,0,NaN
Palaeocycloceras,478.600,468.100,2,0,NaN
Palaeocyclus,436.000,428.200,8,0,NaN
Palaeocypraea,65.500,61.700,1,0,NaN
Palaeocystites,466.000,460.900,3,0,NaN
Palaeodawsonocerina,460.900,445.600,8,6,0.9067
Palaeodictyota,418.700,412.300,6,0,NaN
Palaeoglossa,466.000,436.000,13,0,NaN
Palaeohelia,99.600,93.500,1,0,NaN
Palaeohemioedema,409.100,383.700,2,0,NaN
Palaeoheteroptera,150.800,145.500,4,3,0.0410
Palaeohomarus,112.030,99.600,1,0,NaN
Palaeohydatina,164.700,161.200,8,7,0.0175
Palaeojerea,268.000,265.000,1,0,NaN
Palaeolenella,520.000,516.000,1,0,NaN
Palaeolima,339.400,235.000,30,14,0.0028
Palaeomanon,428.200,426.200,3,0,NaN
Palaeomphalus,460.900,443.700,2,0,NaN
Palaeomussa,161.200,155.700,1,0,NaN
Palaeonarica,252.300,205.600,8,3,0.0109
Palaeoneilo,488.300,175.600,86,22,0.0610
Palaeoniso,235.000,232.000,2,0,NaN
Palaeontina,167.700,164.700,1,1,1.0000
Palaeonucula,339.400,145.500,83,40,0.0170
Palaeopecten,422.900,421.300,2,2,0.0060
Palaeopedina,201.600,196.500,3,0,NaN
Palaeopemphix,268.000,265.000,3,0,NaN
Palaeopharus,212.000,205.600,1,0,NaN
Palaeophyllum,488.300,418.700,79,0,NaN
Palaeoplesiastraea,20.430,5.332,26,3,0.0689
Palaeoporites,460.900,428.200,5,0,NaN
Palaeopsammia,125.450,61.700,14,3,0.0125
Palaeopteria,449.500,443.700,1,0,NaN
Palaeoschada,428.200,418.700,2,0,NaN
Palaeoschisma,478.600,445.600,3,0,NaN
Palaeoscolex,516.000,513.000,3,2,0.4330
Palaeoscurria,468.100,383.700,3,0,NaN
Palaeosmilia,364.700,259.000,78,23,0.0815
Palaeosolen,460.900,290.100,2,0,NaN
Palaeostrophia,501.000,478.600,28,0,NaN
Palaeostrophomena,471.800,457.500,3,0,NaN
Palaeostylus,345.000,252.300,45,32,0.0122
Palaeotrimerella,460.900,449.500,1,0,NaN
Palaeotriton,235.000,232.000,3,0,NaN
Palaeotrochus,391.900,388.100,1,0,NaN
Palaeoxanthopsis,70.600,65.500,1,0,NaN
Palaeozyga,412.300,391.900,2,0,NaN
Palaeozygopleura,416.000,272.500,52,7,0.0236
Palaeura,466.000,460.900,1,0,NaN
Palanatina,254.000,252.300,1,1,1.0000
Palangaria,125.450,112.030,1,1,0.3333
Palasterina,428.200,422.900,1,1,0.1000
Palastraea,336.000,318.100,9,0,NaN
Palauastrea,15.5,15.5,1,0,NaN
Palaxius,221.500,205.600,3,0,NaN
Paldoceras,471.800,460.900,3,3,0.1417
Palelpidia,235.000,205.600,1,0,NaN
Paleoalveolites,460.900,449.500,1,0,NaN
Paleoastroides,23.030,13.650,4,0,NaN
Paleochiridota,303.400,295.000,1,0,NaN
Paleochiton,488.300,468.100,1,0,NaN
Paleofavosites,452.000,254.000,140,3,0.2646
Paleofossus,516.000,513.000,1,0,NaN
Paleolimulus,295.000,279.500,2,0,NaN
Paleooryctocephalus,516.000,513.000,1,0,NaN
Paleopentacta,112.030,99.600,1,1,0.0667
Paleowaagia,298.900,268.000,10,0,NaN
Palermites,268.000,265.000,1,0,NaN
Palermoceras,268.000,265.000,2,0,NaN
Palermocoelia,212.000,205.600,1,0,NaN
Paleschara,466.000,290.100,4,0,NaN
Paleunema,235.000,232.000,3,0,NaN
Paleyoldia,318.100,314.600,3,0,NaN
Palicites,221.500,215.560,1,0,NaN
Paliphyllum,449.500,436.000,8,0,NaN
Paliurus,37.200,33.900,1,1,0.0130
Pallacera,33.900,3.4,6,1,0.0038
Pallenites,145.500,140.200,1,1,0.2000
Palliolum,15.970,11.608,1,0,NaN
Palliseria,488.300,468.100,22,0,NaN
Palmatohindia,456.100,443.700,4,0,NaN
Palmerella,58.700,55.800,3,2,0.0266
Palmericyathellus,516.000,513.000,2,0,NaN
Palmericyathus,520.000,513.000,6,0,NaN
Palmicellaria,3.600,2.588,1,0,NaN
Palmoconcha,23.030,20.430,1,0,NaN
Palorthoceras,478.600,471.800,1,1,1.0000
Palparites,150.800,145.500,1,1,1.0000
Paltechioceras,196.500,189.600,9,0,NaN
Paludomus,11.608,5.332,1,0,NaN
Pamirella,295.000,265.000,7,1,0.0129
Pamirochaetetes,235.000,221.500,1,0,NaN
Pamirocoelia,212.000,201.600,2,0,NaN
Pamirophyllum,205.600,201.600,5,0,NaN
Pamiropopanoceras,290.100,279.500,2,0,NaN
Pamiropora,221.500,205.600,3,1,0.1250
Pamiroseris,247.200,201.600,85,14,0.1250
Pamirostroma,212.000,205.600,1,0,NaN
Pamirothalamia,212.000,205.600,2,0,NaN
Pamirothyris,221.500,205.600,2,0,NaN
Pamiroverticillites,212.000,205.600,1,0,NaN
Pamphagosirenites,235.000,221.500,1,1,1.0000
Pampoecilorhynchus,383.700,360.700,1,0,NaN
Panarchaeogonus,449.500,443.700,2,2,0.0018
Pandaspinapyga,468.100,460.900,8,2,0.0009
Panderia,466.000,452.000,4,0,NaN
Panderina,478.600,471.800,2,0,NaN
Pandocrinus,412.300,409.100,3,0,NaN
Pandora,5.332,2.588,1,0,NaN
Pandospira,268.000,265.000,2,0,NaN
Panenka,416.000,353.800,8,0,NaN
Panopea,150.800,5.332,64,8,0.0166
Panopeus,13.650,2.588,5,0,NaN
Panormida,212.000,205.600,12,0,NaN
Pantodapus,145.500,140.200,3,3,0.0137
Pantojaloria,125.450,122.460,2,0,NaN
Pantokratoria,242.000,221.500,2,0,NaN
Pantophyllum,379.500,376.100,4,0,NaN
Paphia,20.430,3.600,15,5,0.0133
Paphies,0.126,0.012,1,0,NaN
Papiliophyllum,402.500,388.100,5,0,NaN
Papillicalymene,449.500,443.700,1,0,NaN
Papillina,61.700,33.900,2,1,0.0032
Papillostrophia,412.300,409.100,1,0,NaN
Papodina,189.600,168.400,9,9,0.0451
Papulinella,290.100,279.500,2,2,0.0304
Papyridea,2.588,0.012,2,0,NaN
Paquiericeras,140.200,136.400,5,1,0.0068
Paraacanthogyra,112.030,99.600,1,0,NaN
Paraantagmus,516.000,501.000,3,2,0.6749
Parabactrites,290.100,279.500,1,0,NaN
Parabairdiacypris,418.700,412.300,1,0,NaN
Parabasilicus,466.000,460.900,1,0,NaN
Parabauneia,268.000,265.000,4,0,NaN
Parabellefontia,488.300,478.600,2,0,NaN
Parablackwelderia,513.000,501.000,5,0,NaN
Parabolbina,460.900,388.100,16,0,NaN
Parabolina,501.000,478.600,5,0,NaN
Parabolinella,488.300,478.600,17,0,NaN
Parabolinoides,501.000,488.300,5,0,NaN
Paraboubeithyris,130.000,125.450,2,2,0.9535
Parabournonia,83.500,65.500,2,0,NaN
Parabrancoceras,112.030,99.600,6,0,NaN
Parabrissus,48.600,40.400,1,0,NaN
Parabuprestium,145.500,140.200,2,2,0.0137
Parabursacrinus,290.100,279.500,1,0,NaN
Parabythocythere,254.000,252.300,6,0,NaN
Paracaninia,279.500,252.300,43,0,NaN
Paracaprinula,83.500,70.600,2,0,NaN
Paracarcinosoma,418.700,416.000,2,0,NaN
Paracardium,416.000,409.100,1,0,NaN
Paracatillocrinus,290.100,279.500,2,2,0.4899
Paraceltites,279.500,254.000,22,0,NaN
Paracenoceras,167.700,150.800,30,2,0.0159
Paraceratites,247.200,235.000,22,12,0.0545
Paraceratoconus,520.000,513.000,1,0,NaN
Paraceraurus,463.500,452.000,9,0,NaN
Paracerithium,221.500,205.600,2,0,NaN
Parachangshania,501.000,488.300,1,1,0.1321
Parachasmatopora,445.600,443.700,1,0,NaN
Parachittidilla,513.000,505.000,4,0,NaN
Parachonetella,254.000,252.300,1,0,NaN
Parachonetes,412.300,391.900,13,1,0.0038
Parachoristites,318.100,306.950,2,2,0.0820
Parachouteauoceras,303.400,295.000,2,2,0.2673
Paracidaris,171.600,150.800,16,5,0.0127
Paracladiscites,235.000,205.600,2,0,NaN
Paraclausastraea,136.400,109.000,4,2,0.0191
Paraclimacograptus,449.500,443.700,1,0,NaN
Paraclytiopsis,232.000,221.500,1,0,NaN
Paracolocrinus,436.000,422.900,1,0,NaN
Paraconularia,336.000,254.000,13,2,0.0033
Paracorallicarcinus,48.600,37.200,1,0,NaN
Paracorrugopora,449.500,443.700,1,0,NaN
Paracoryphyllia,221.500,215.560,1,0,NaN
Paracosmetocrinus,360.700,353.800,2,2,0.0201
Paracraniops,455.800,443.700,4,0,NaN
Paracraticularia,155.700,150.800,2,2,0.0832
Paracremacrinus,460.900,449.500,1,1,0.0145
Paracrochordiceras,247.200,242.000,7,7,0.0163
Paracrurithyris,254.000,252.300,3,0,NaN
Paracryphaeus,412.300,409.100,1,0,NaN
Paracryptocrinites,471.800,468.100,1,0,NaN
Paractinoceras,449.500,443.700,6,0,NaN
Paracuifia,221.500,201.600,6,1,0.0184
Paracuneatopora,412.300,409.100,1,0,NaN
Paracyathus,83.500,3.4,22,3,0.0223
Paracybantyx,422.900,418.700,1,0,NaN
Paracybeloides,478.600,466.000,1,0,NaN
Paracyclas,422.900,175.600,16,1,0.0404
Paracycloseris,105.300,33.900,10,0,NaN
Paracyclostomiceras,471.800,463.500,2,1,0.0217
Paracymatoceras,125.450,112.030,1,0,NaN
Paracypellia,161.200,150.800,13,7,0.0275
Paracyprideis,105.300,99.600,1,0,NaN
Paracypris,254.000,5.332,56,1,0.0026
Paracyrtolites,460.900,449.500,1,0,NaN
Paracytheridea,23.030,13.650,2,0,NaN
Paracytherois,2.588,0.012,1,0,NaN
Paradakeoceras,488.300,478.600,3,0,NaN
Paradamesella,505.000,501.000,1,0,NaN
Paradanubites,247.200,242.000,1,1,0.0049
Paradelphinulopsis,221.500,205.600,3,1,0.0010
Paradeningeria,272.500,201.600,39,0,NaN
Paradiabolocrinus,460.900,449.500,2,1,0.0003
Paradiceras,150.800,145.500,2,0,NaN
Paradichocrinus,345.300,345.000,6,1,0.0148
Paradimorphoceras,318.100,314.600,9,9,0.0123
Paradiscoceras,460.900,455.800,3,0,NaN
Paradistichites,221.500,205.600,1,0,NaN
Paradistichophyllum,205.600,201.600,3,0,NaN
Paradnatoceras,463.500,460.900,1,0,NaN
Paradoxides,516.000,501.000,6,2,0.2857
Paradoxocycloides,409.100,391.900,1,0,NaN
Paradoxorhyncha,171.600,164.700,4,0,NaN
Paradoxothyris,235.000,212.000,3,0,NaN
Paraduplophyllum,314.600,272.500,61,59,0.0399
Paradycheia,501.000,488.300,3,0,NaN
Paraechmina,428.200,416.000,8,0,NaN
Paraendoceras,488.300,478.600,6,5,0.1092
Paraesa,105.300,89.300,12,10,0.0800
Parafavosites,460.900,416.000,3,0,NaN
Parafavreina,212.000,189.600,5,0,NaN
Parafenestralia,279.500,268.000,2,0,NaN
Parafrechites,247.200,242.000,5,2,0.6614
Paraganides,232.000,221.500,2,0,NaN
Paragaricocrinus,265.000,259.000,1,0,NaN
Paragastrioceras,290.100,272.500,24,18,0.0189
Paragazacrinus,428.200,422.900,1,0,NaN
Paraglauconia,112.030,105.300,1,0,NaN
Paragloborilus,542.000,516.000,3,0,NaN
Paragoniozona,318.100,272.500,2,2,0.0094
Paragraulos,516.000,513.000,3,0,NaN
Paragrilium,145.500,140.200,1,1,0.0137
Parahalobia,227.500,221.500,1,0,NaN
Paraharpes,471.800,460.900,1,0,NaN
Parahauerites,232.000,221.500,2,0,NaN
Parahealdia,416.000,416.000,1,0,NaN
Paraheritschioides,318.100,279.500,54,0,NaN
Parahildaites,183.000,175.600,3,0,NaN
Parahimatella,265.000,259.000,2,2,0.0183
Parahollinella,254.000,252.300,4,0,NaN
Parahomoceras,318.100,314.600,2,2,0.0308
Parahoplites,122.460,112.030,4,0,NaN
Parahousia,501.000,488.300,4,0,NaN
Parahughmilleria,422.900,416.000,1,0,NaN
Parahystricurus,488.300,478.600,23,0,NaN
Parailsanella,542.000,513.000,26,1,0.3333
Parainoceramus,189.600,145.500,2,1,0.0219
Parainouyia,513.000,505.000,3,0,NaN
Paraipciphyllum,272.500,259.000,16,0,NaN
Parajialaopsis,513.000,505.000,1,0,NaN
Parajonesites,460.900,449.500,4,0,NaN
Parajuresania,313.800,295.000,35,8,0.0349
Parajuvavites,221.500,205.600,1,0,NaN
Parakellnerites,247.200,235.000,11,10,0.0137
Parakingena,112.030,99.600,1,0,NaN
Parakionoceras,418.700,412.300,2,2,0.0397
Parakolithes,516.000,513.000,2,0,NaN
Parakorilithes,516.000,513.000,1,0,NaN
