genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Actinotrypella,272.500,268.000,1,0,NaN
Actostroma,164.700,122.460,7,0,NaN
Aculatostroma,416.000,391.900,3,0,NaN
Acutichiton,313.800,279.500,3,1,0.1791
Acutiramus,418.700,412.300,4,0,NaN
Acutirostriconus,542.000,516.000,1,0,NaN
Acutomeekoceras,251.300,247.200,1,0,NaN
Acutostrea,70.600,65.500,3,3,0.0253
Adamczakia,428.200,418.700,1,0,NaN
Adamnestia,0.126,0.012,1,0,NaN
Adamsoceras,471.800,457.500,2,0,NaN
Adansonella,65.500,61.700,1,1,0.0022
Adaverina,428.200,418.700,2,0,NaN
Adelocoenia,167.700,93.500,45,5,0.0257
Adelocythara,3.600,2.588,1,0,NaN
Adelograptus,488.300,466.000,6,0,NaN
Adensu,460.900,449.500,1,0,NaN
Adeona,3.600,2.588,1,0,NaN
Adeonella,3.600,2.588,1,0,NaN
Adiagoceras,416.000,412.300,1,1,0.5566
Adinocrinus,345.300,326.400,7,1,0.0339
Adiozoptyxis,122.460,99.600,2,0,NaN
Adkinsella,109.000,105.300,1,0,NaN
Adlatipora,298.900,265.000,14,0,NaN
Admetula,65.500,61.700,2,0,NaN
Adnethiceras,201.600,189.600,1,1,0.0545
Adolfia,379.500,376.100,23,7,0.0040
Adolfispirifer,379.500,376.100,1,1,0.0172
Adradosia,388.100,383.700,1,0,NaN
Adrana,55.800,5.332,3,1,0.0123
Adriana,272.500,268.000,3,3,0.0012
Adrianites,295.000,259.000,11,0,NaN
