"phylum","class","order","family","otu"
"Mollusca","Gastropoda","","Cypraeidae","Schilderia"
"Cnidaria","Anthozoa","Stauriida","Amsdenoididae","Multicarinophyllum"
"Cnidaria","Anthozoa","Cystiphyllida","Tryplasmatidae","Thecaspinellum"
"Cnidaria","Anthozoa","Cystiphyllida","Holmophyllidae","Nipponophyllum"
"Cnidaria","Anthozoa","Stauriida","Kodonophyllidae","Carinophyllum"
"Porifera","Stromatoporoidea","Clathrodictyida","Atelodictyidae","Plexodictyon"
"Porifera","","","","Stromatofungia"
"Porifera","Stromatoporoidea","","","Pseudoactinostroma"
"Porifera","Stromatoporoidea","","","Flexiostroma"
"Porifera","Stromatoporoidea","Stromatoporellida","Trupetostromatidae","Synthetostroma"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Puschastraea"
"Cnidaria","Hydrozoa","Spongiomorphida","Spongiomorphidae","Heptastylopsis"
"Mollusca","Tentaculita","Homoctenida","Polycylindritidae","Polycylindrites"
"Porifera","Stromatoporoidea","Actinostromatida","Actinostromatidae","Neoclathrodictyon"
"Mollusca","Cephalopoda","Belemnitida","","Belemnites (Belemnopsis)"
"Porifera","Stromatoporoidea","Clathrodictyida","Tienodictyidae","Tienodictyon"
"Porifera","Stromatoporoidea","Stromatoporellida","Trupetostromatidae","Hermatostromella"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Pharomytilus"
"Cnidaria","Anthozoa","Favositida","Favositidae","Gephuropora"
"Cnidaria","Anthozoa","","","Pachypseudoplasmopora"
"Mollusca","Bivalvia","Lucinida","Lucinidae","Loripinus"
"Cnidaria","Anthozoa","Favositida","Theciidae","Fossoporella"
"Cnidaria","Anthozoa","Favositida","Favositidae","Rudakites"
"Cnidaria","Anthozoa","Favositida","Favositidae","Squamites"
"Mollusca","Bivalvia","","","Somalidacna"
"Cnidaria","Anthozoa","Stauriida","Lithostrotionidae","Aulokoninckophyllum"
"","","Tentaculitida","Multiconidae","Multiconus"
"","","Tentaculitida","Contractenidae","Semicyclus"
"Cnidaria","Anthozoa","Stauriida","Calostylidae","Palaearaea"
"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae","Cyathophyllia"
"Cnidaria","Anthozoa","Scleractinia","Cunnolitidae","Plesiocunnolites"
"Mollusca","Bivalvia","Colpomyida","Colpomyidae","Colpantyx"
"Mollusca","Bivalvia","Nuculida","Praenuculidae","Fidera"
